"市","行政區域","商家數"
"臺北市","北投區八仙里",1
"臺北市","北投區大同里",1
"臺北市","北投區稻香里",1
"臺北市","北投區東華里",1
"臺北市","北投區關渡里",1
"臺北市","北投區湖山里",1
"臺北市","北投區湖田里",1
"臺北市","北投區吉慶里",1
"臺北市","北投區建民里",1
"臺北市","北投區開明里",1
"臺北市","北投區立農里",1
"臺北市","北投區立賢里",1
"臺北市","北投區林泉里",1
"臺北市","北投區奇岩里",1
"臺北市","北投區清江里",1
"臺北市","北投區泉源里",1
"臺北市","北投區榮華里",1
"臺北市","北投區石牌里",1
"臺北市","北投區桃源里",1
"臺北市","北投區溫泉里",1
"臺北市","北投區文林里",1
"臺北市","北投區秀山里",1
"臺北市","北投區一德里",1
"臺北市","北投區永和里",1
"臺北市","北投區永欣里",1
"臺北市","北投區裕民里",1
"臺北市","北投區長安里",1
"臺北市","北投區振華里",1
"臺北市","北投區智仁里",1
"臺北市","北投區中心里",1
"臺北市","北投區中央里",1
"臺北市","北投區中庸里",1
"臺北市","北投區洲美里",1
"臺北市","北投區尊賢里",1
"臺北市","大安區車層里",1
"臺北市","大安區誠安里",1
"臺北市","大安區德安里",1
"臺北市","大安區芳和里",1
"臺北市","大安區福住里",1
"臺北市","大安區古風里",1
"臺北市","大安區古莊里",1
"臺北市","大安區光明里",1
"臺北市","大安區光武里",1
"臺北市","大安區光信里",1
"臺北市","大安區虎嘯里",1
"臺北市","大安區華聲里",1
"臺北市","大安區建安里",1
"臺北市","大安區錦安里",1
"臺北市","大安區錦泰里",1
"臺北市","大安區黎和里",1
"臺北市","大安區臨江里",1
"臺北市","大安區龍安里",1
"臺北市","大安區龍坡里",1
"臺北市","大安區龍泉里",1
"臺北市","大安區龍生里",1
"臺北市","大安區龍圖里",1
"臺北市","大安區民輝里",1
"臺北市","大安區群賢里",1
"臺北市","大安區仁慈里",1
"臺北市","大安區通安里",1
"臺北市","大安區通化里",1
"臺北市","大安區臥龍里",1
"臺北市","大安區新龍里",1
"臺北市","大安區義安里",1
"臺北市","大安區義村里",1
"臺北市","大同區保安里",1
"臺北市","大同區朝陽里",1
"臺北市","大同區大有里",1
"臺北市","大同區光能里",1
"臺北市","大同區國慶里",1
"臺北市","大同區建功里",1
"臺北市","大同區建明里",1
"臺北市","大同區建泰里",1
"臺北市","大同區老師里",1
"臺北市","大同區隆和里",1
"臺北市","大同區民權里",1
"臺北市","大同區南芳里",1
"臺北市","大同區蓬萊里",1
"臺北市","大同區雙連里",1
"臺北市","大同區斯文里",1
"臺北市","大同區星明里",1
"臺北市","大同區延平里",1
"臺北市","大同區永樂里",1
"臺北市","大同區玉泉里",1
"臺北市","大同區至聖里",1
"臺北市","大同區重慶里",1
"臺北市","南港區百福里",1
"臺北市","南港區成福里",1
"臺北市","南港區東明里",1
"臺北市","南港區東新里",1
"臺北市","南港區合成里",1
"臺北市","南港區九如里",1
"臺北市","南港區舊莊里",1
"臺北市","南港區聯成里",1
"臺北市","南港區南港里",1
"臺北市","南港區三重里",1
"臺北市","南港區萬福里",1
"臺北市","南港區西新里",1
"臺北市","南港區新光里",1
"臺北市","南港區玉成里",1
"臺北市","南港區中南里",1
"臺北市","南港區中研里",1
"臺北市","南港區重陽里",1
"臺北市","內湖區安泰里",1
"臺北市","內湖區寶湖里",1
"臺北市","內湖區大湖里",1
"臺北市","內湖區東湖里",1
"臺北市","內湖區港富里",1
"臺北市","內湖區港華里",1
"臺北市","內湖區港墘里",1
"臺北市","內湖區湖濱里",1
"臺北市","內湖區湖元里",1
"臺北市","內湖區金龍里",1
"臺北市","內湖區蘆洲里",1
"臺北市","內湖區明湖里",1
"臺北市","內湖區內湖里",1
"臺北市","內湖區清白里",1
"臺北市","內湖區石潭里",1
"臺北市","內湖區五分里",1
"臺北市","內湖區西安里",1
"臺北市","內湖區西湖里",1
"臺北市","內湖區西康里",1
"臺北市","內湖區行善里",1
"臺北市","內湖區秀湖里",1
"臺北市","內湖區週美里",1
"臺北市","內湖區紫星里",1
"臺北市","內湖區紫陽里",1
"臺北市","士林區翠山里",1
"臺北市","士林區德行里",1
"臺北市","士林區東山里",1
"臺北市","士林區福安里",1
"臺北市","士林區福德里",1
"臺北市","士林區福佳里",1
"臺北市","士林區福林里",1
"臺北市","士林區福順里",1
"臺北市","士林區福志里",1
"臺北市","士林區福中里",1
"臺北市","士林區富洲里",1
"臺北市","士林區公館里",1
"臺北市","士林區葫東里",1
"臺北市","士林區葫蘆里",1
"臺北市","士林區菁山里",1
"臺北市","士林區舊佳里",1
"臺北市","士林區蘭興里",1
"臺北市","士林區蘭雅里",1
"臺北市","士林區臨溪里",1
"臺北市","士林區明勝里",1
"臺北市","士林區平等里",1
"臺北市","士林區前港里",1
"臺北市","士林區仁勇里",1
"臺北市","士林區社新里",1
"臺北市","士林區社子里",1
"臺北市","士林區聖山里",1
"臺北市","士林區天福里",1
"臺北市","士林區天祿里",1
"臺北市","士林區天母里",1
"臺北市","士林區天壽里",1
"臺北市","士林區天玉里",1
"臺北市","士林區溪山里",1
"臺北市","士林區岩山里",1
"臺北市","士林區陽明里",1
"臺北市","士林區義信里",1
"臺北市","士林區永倫里",1
"臺北市","士林區芝山里",1
"臺北市","松山區安平里",1
"臺北市","松山區慈祐里",1
"臺北市","松山區東昌里",1
"臺北市","松山區東榮里",1
"臺北市","松山區敦化里",1
"臺北市","松山區富泰里",1
"臺北市","松山區復建里",1
"臺北市","松山區復勢里",1
"臺北市","松山區吉仁里",1
"臺北市","松山區吉祥里",1
"臺北市","松山區美仁里",1
"臺北市","松山區民福里",1
"臺北市","松山區鵬程里",1
"臺北市","松山區松基里",1
"臺北市","松山區新東里",1
"臺北市","松山區新聚里",1
"臺北市","松山區新益里",1
"臺北市","松山區中崙里",1
"臺北市","松山區中正里",1
"臺北市","松山區莊敬里",1
"臺北市","萬華區保德里",1
"臺北市","萬華區菜園里",1
"臺北市","萬華區福星里",1
"臺北市","萬華區福音里",1
"臺北市","萬華區富民里",1
"臺北市","萬華區和德里",1
"臺北市","萬華區和平里",1
"臺北市","萬華區錦德里",1
"臺北市","萬華區青山里",1
"臺北市","萬華區全德里",1
"臺北市","萬華區仁德里",1
"臺北市","萬華區日善里",1
"臺北市","萬華區日祥里",1
"臺北市","萬華區榮德里",1
"臺北市","萬華區雙園里",1
"臺北市","萬華區糖廍里",1
"臺北市","萬華區西門里",1
"臺北市","萬華區新和里",1
"臺北市","萬華區新起里",1
"臺北市","萬華區新忠里",1
"臺北市","萬華區忠德里",1
"臺北市","文山區博嘉里",1
"臺北市","文山區景東里",1
"臺北市","文山區景華里",1
"臺北市","文山區景慶里",1
"臺北市","文山區景仁里",1
"臺北市","文山區景行里",1
"臺北市","文山區老泉里",1
"臺北市","文山區明義里",1
"臺北市","文山區木柵里",1
"臺北市","文山區木新里",1
"臺北市","文山區試院里",1
"臺北市","文山區萬芳里",1
"臺北市","文山區萬和里",1
"臺北市","文山區萬美里",1
"臺北市","文山區萬年里",1
"臺北市","文山區萬盛里",1
"臺北市","文山區萬興里",1
"臺北市","文山區萬有里",1
"臺北市","文山區興安里",1
"臺北市","文山區興邦里",1
"臺北市","文山區興得里",1
"臺北市","文山區興豐里",1
"臺北市","文山區興光里",1
"臺北市","文山區興家里",1
"臺北市","文山區興泰里",1
"臺北市","文山區興旺里",1
"臺北市","文山區興業里",1
"臺北市","文山區樟腳里",1
"臺北市","文山區樟林里",1
"臺北市","文山區樟新里",1
"臺北市","文山區政大里",1
"臺北市","文山區指南里",1
"臺北市","文山區忠順里",1
"臺北市","信義區安康里",1
"臺北市","信義區大道里",1
"臺北市","信義區大仁里",1
"臺北市","信義區敦厚里",1
"臺北市","信義區富台里",1
"臺北市","信義區嘉興里",1
"臺北市","信義區景新里",1
"臺北市","信義區黎安里",1
"臺北市","信義區黎平里",1
"臺北市","信義區黎順里",1
"臺北市","信義區黎忠里",1
"臺北市","信義區六合里",1
"臺北市","信義區四育里",1
"臺北市","信義區松光里",1
"臺北市","信義區泰和里",1
"臺北市","信義區五常里",1
"臺北市","信義區西村里",1
"臺北市","信義區新仁里",1
"臺北市","信義區興隆里",1
"臺北市","信義區興雅里",1
"臺北市","信義區雅祥里",1
"臺北市","信義區長春里",1
"臺北市","信義區正和里",1
"臺北市","信義區中坡里",1
"臺北市","中山區成功里",1
"臺北市","中山區大佳里",1
"臺北市","中山區大直里",1
"臺北市","中山區復華里",1
"臺北市","中山區恆安里",1
"臺北市","中山區集英里",1
"臺北市","中山區劍潭里",1
"臺北市","中山區金泰里",1
"臺北市","中山區聚盛里",1
"臺北市","中山區聚葉里",1
"臺北市","中山區里",1
"臺北市","中山區力行里",1
"臺北市","中山區民安里",1
"臺北市","中山區埤頭里",1
"臺北市","中山區晴光里",1
"臺北市","中山區松江里",1
"臺北市","中山區下埤里",1
"臺北市","中山區新生里",1
"臺北市","中山區新庄里",1
"臺北市","中山區行仁里",1
"臺北市","中山區行孝里",1
"臺北市","中山區興亞里",1
"臺北市","中山區正得里",1
"臺北市","中山區正義里",1
"臺北市","中山區中吉里",1
"臺北市","中山區中山里",1
"臺北市","中山區中原里",1
"臺北市","中山區中庄里",1
"臺北市","中山區朱馥里",1
"臺北市","中山區朱園里",1
"臺北市","中正區頂東里",1
"臺北市","中正區東門里",1
"臺北市","中正區富水里",1
"臺北市","中正區光復里",1
"臺北市","中正區河堤里",1
"臺北市","中正區建國里",1
"臺北市","中正區黎明里",1
"臺北市","中正區林興里",1
"臺北市","中正區龍光里",1
"臺北市","中正區龍興里",1
"臺北市","中正區梅花里",1
"臺北市","中正區南福里",1
"臺北市","中正區南門里",1
"臺北市","中正區三愛里",1
"臺北市","中正區廈安里",1
"臺北市","中正區水源里",1
"臺北市","中正區網溪里",1
"臺北市","中正區文北里",1
"臺北市","中正區文盛里",1
"臺北市","中正區文祥里",1
"臺北市","中正區新營里",1
"臺北市","中正區幸福里",1
"臺北市","中正區幸市里",1
"臺北市","中正區永昌里",1
"臺北市","中正區永功里",1
